repo_name,today_stars,avg7,accel
arcboxlabs/arcbox,51.0,0.2857142857142857,39.66666666666667
openJiuwen-ai/jiuwenswarm,45.0,0.14285714285714285,39.375
bannedbook/fanqiang,74.0,1.1428571428571428,34.53333333333333
deepseek-ai/deepseek-harness,86.0,2.142857142857143,27.363636363636363
GCWing/BitFun,29.0,0.14285714285714285,25.375
tt-a1i/archify,139.0,5.285714285714286,22.113636363636363
1lck/Lithe-IDEA,21.0,0.0,21.0
Yuan1z0825/nature-skills,21.0,0.0,21.0
danielblnc/DLSS-NR-on-AMD,20.0,0.0,20.0
ByteByteGoHq/system-design-101,43.0,1.2857142857142858,18.8125
obra/superpowers,36.0,1.0,18.0
zvec-ai/zvec-grep,56.0,2.2857142857142856,17.043478260869566
cathrynlavery/diagram-design,29.0,0.7142857142857143,16.916666666666664
averygan/reclip,34.0,1.1428571428571428,15.866666666666667
blader/humanizer,65.0,3.142857142857143,15.689655172413795
virgiliojr94/book-to-skill,23.0,0.5714285714285714,14.636363636363637
larashero3-dotcom/writing-dna-skill,39.0,1.7142857142857142,14.368421052631579
DietrichGebert/ponytail,88.0,5.571428571428571,13.391304347826088
n0de-sudo/Cloudflare-Tools,21.0,0.5714285714285714,13.363636363636363
fmtlib/fmt,39.0,2.0,13.0
omacom/omarchy,24.0,0.8571428571428571,12.923076923076923
NousResearch/hermes-agent,27.0,1.1428571428571428,12.6
bilawalsidhu/gods-eye-view,34.0,1.7142857142857142,12.526315789473683
debpalash/VoiceStudio,55.0,3.5714285714285716,12.03125
deeplethe/utopia,54.0,3.5714285714285716,11.8125
sapientinc/PRAXIST,25.0,1.1428571428571428,11.666666666666668
mattpocock/skills,119.0,9.285714285714286,11.569444444444443
AprilNEA/OpenLogi,36.0,2.2857142857142856,10.956521739130435
earendil-works/pi,20.0,0.8571428571428571,10.769230769230768
THU-MAIC/OpenMAIC,23.0,1.1428571428571428,10.733333333333334
lnkiai/m3e-canvas,23.0,1.1428571428571428,10.733333333333334
jingyaogong/minimind,20.0,1.0,10.0
stablyai/orca,38.0,3.0,9.5
JuliusBrussee/caveman,23.0,1.4285714285714286,9.470588235294116
Imbad0202/academic-research-skills,23.0,1.4285714285714286,9.470588235294116
anthropics/commerce-agents,29.0,2.142857142857143,9.227272727272727
anthropics/skills,28.0,2.142857142857143,8.90909090909091
abi/screenshot-to-code,20.0,1.2857142857142858,8.75
affaan-m/ECC,51.0,5.0,8.5
rakanki911/DLSS5-Swapper,23.0,1.7142857142857142,8.473684210526315
humanlayer/skills,43.0,4.428571428571429,7.921052631578947
jakubkrehel/skills,31.0,3.0,7.75
Graphify-Labs/graphify,25.0,2.2857142857142856,7.608695652173913
crmne/fastpotify,22.0,2.0,7.333333333333333
f/prompts.chat,21.0,2.4285714285714284,6.125
larashero3-dotcom/lieflat-charts,20.0,2.2857142857142856,6.086956521739131
