repo_name,stars
MrDiamond64/Hydra,2956.0
ayghri/i-have-adhd,903.0
bilawalsidhu/gods-eye-view,698.0
ghoulformpray/Monero-Miner,486.0
postlayerrespect26/FPS-Booster-for-Wiindows,450.0
ScalarLinkAxe/Optimizer-Toolkit,366.0
bluecockatooshrink/AutoCad-setup,353.0
pitelephantdawn/KMS-Pico-for-Win,349.0
covetradesmanrivet/Acrobat-Reader-Pro,348.0
Embertuready/Total-Commander,326.0
TealElderPlait/Cinema-4D,313.0
Tankmacspout/Discord-Quest-Completer,302.0
deepseek-ai/deepseek-harness,298.0
tt-a1i/archify,295.0
LairPackerAbyss/canva-full,256.0
DietrichGebert/ponytail,248.0
stablyai/orca,247.0
google/artemis,241.0
mattpocock/skills,220.0
Royaltadetonate/Discord-Quest,213.0
affaan-m/ECC,211.0
nashsu/llm_wiki,175.0
Forkploborder/After-Effects-setup,174.0
diegosouzapw/OmniRoute,170.0
VergeSystemMoon/FL-Studio-for-Windows,170.0
NVlabs/SoL-Pi,169.0
tonhowtf/omniget,163.0
obra/superpowers,156.0
k2-fsa/OmniVoice,153.0
jordan-gibbs/hyperresearch,151.0
github/spec-kit,148.0
sharpregentmarket/Driver-Booster-Pro,147.0
basephasewarehouse/multi-dcord,145.0
TameViceVision69/gtnrvyoj,142.0
jiji262/douyin-downloader,142.0
cathrynlavery/diagram-design,139.0
arcboxlabs/arcbox,130.0
Protonrecultivate/AfterEffects-Fast-Way,128.0
NousResearch/hermes-agent,127.0
PlaneTrooperLift/Directory-Opus-setup,126.0
calesthio/OpenMontage,126.0
pascalorg/editor,125.0
ShadeMultiplexer/Boris-FX-Tools,123.0
public-apis/public-apis,120.0
EvoMap/AutoResearch,119.0
dataelement/dsh-desktop,117.0
alsk1992/CloddsBot,117.0
yang0/handraw-style,115.0
melgarafael/DeskcommCRM,114.0
ZenithSensei/Boris-FX-Toolkit,113.0
firecrawl/firecrawl,112.0
THU-MAIC/OpenMAIC,110.0
RadiusForemanDivider/bulkcreatorautomation,109.0
vastsa/PI-Desktop,107.0
sindresorhus/awesome,107.0
sumimakito/Mac-Duo,105.0
liquidslr/system-design-notes,105.0
OnyxConductorSnips/Discord-Raid-Tools,100.0
blader/humanizer,100.0
emilkowalski/skills,100.0
Anakin-Inc/anakin,99.0
crestcoursechateau/Acrobat-Pro-Software,98.0
virgiliojr94/book-to-skill,93.0
tigerless-labs/autoharness,90.0
ifixai-ai/iFixAi,88.0
debpalash/VoiceStudio,88.0
anywhere-labs/dsh-desktop,88.0
amagine-ai/Amagine3D,87.0
alphaXiv/OpenResearch,87.0
cockatricefoalbond16/hdawkerh,84.0
omacom/omarchy,84.0
freestylefly/awesome-gpt-image-2,84.0
herdrdev/herdr,83.0
goldencorespin/CorelDraw-Leaked,83.0
FollowerJouninDolmen/xsssgdcd,83.0
p1neappleXpress/OpenFlux,82.0
zhishile/codex-auth-helper,82.0
D4Vinci/Scrapling,81.0
multica-ai/andrej-karpathy-skills,81.0
Tencent/teamai-cli,80.0
sdli1995/dlssg_for_sm86,78.0
OpenHands/OpenHands,78.0
JuliusBrussee/caveman,77.0
chiprollerrhythm34/kickaio,77.0
sopaco/deepwiki-rs,75.0
VelocityNodeCompute/Universal-Trading-Bot,74.0
harry0703/MoneyPrinterTurbo,73.0
vinta/awesome-python,73.0
armory3d/armorpaint,72.0
watermitecreate/Optimizer-For-Windows,72.0
openai/codex,72.0
Graphify-Labs/graphify,71.0
Edge0-AI/Edge0,71.0
k1tbyte/Wand-Enhancer,71.0
earendil-works/pi,71.0
unstablebuild/rune,70.0
AlexsJones/llmfit,69.0
SpaceDudem/text-humanizer,68.0
