repo_name,stars
PrimeIntellect-ai/prime-agent,8.0
msitarzewski/agency-agents,7.0
zhaoxuya520/reverse-skill,7.0
stablyai/orca,5.0
mattpocock/skills,5.0
firecrawl/anydoc,4.0
google/skills,4.0
ShawnPana/phone-harness,3.0
baidu/Unlimited-OCR,3.0
bannedbook/fanqiang,3.0
garrytan/gstack,3.0
emilkowalski/skills,3.0
sozercan/kaset,3.0
pctrade/end4-pC,3.0
nexu-io/open-design,3.0
ayghri/i-have-adhd,3.0
OStudi/short-video-generator-AI,2.0
langchain-ai/openwiki,2.0
multica-ai/andrej-karpathy-skills,2.0
pranshuparmar/witr,2.0
AgriciDaniel/claude-obsidian,2.0
Arbitrage-Trading-Hub/funding-rate-arbitrage-bot,2.0
litu54/DevOps-Interview-Guide,2.0
MengTo/Skills,2.0
wshobson/agents,2.0
Sateezg/codex-bridge,2.0
sindresorhus/awesome,2.0
debpalash/VoiceStudio,2.0
microsoft/markitdown,2.0
codecrafters-io/build-your-own-x,2.0
utmapp/UTM,2.0
microsoft/PowerToys,2.0
MengTo/kage,2.0
EmenstaNougat/ESP32-BlueJammer,2.0
larswagner81/arcadia-executor-script-hub,2.0
DigitalPlatDev/FreeDomain,2.0
NousResearch/hermes-agent,2.0
Egonex-AI/Understand-Anything,2.0
sirenconemd/CSS-Flexbox-Tool,2.0
alibaba/open-code-review,2.0
brightdata/cli,2.0
stanfordnlp/dspy,2.0
veracrypt/VeraCrypt,2.0
asgeirtj/system_prompts_leaks,2.0
nilbuild/developer-roadmap,2.0
HKUDS/DeepTutor,2.0
valqore/valqore,2.0
anomalyco/opencode,2.0
SangLuoCN/OneStep4,2.0
cloudflare/computer,2.0
